category,app,price_usd,price_eur,price_gbp,price_chf
Client Management,app.rove,7,6.5,6,
Client Management,Facebook Messenger,10,10,8,
Client Management,Lead Forms,,,,
Other,Email Signature,5,5,4,
Other,Google Analytics,10,10,10,
Other,Zapier,,,,
Other,Website Builder,23.95,23.95,17.95,
Other,Website Builder - DIFM,49.95,,,
Payments,QuickBooks,10,10,10,
Marketing,Pro Campaign Editor,10,9.5,8.5,
Communication,Calls & Texting,15,,,
Communication,Business Calls,20,20,16,20
Communication,Business Texting,15,15,12,15
Communication,AI Receptionist - 75 calls,75,,,
Communication,AI Receptionist - 200 calls,30,,,
Scheduling,SmartSlots,24.95,22.95,19.95,
Scheduling,Reserve with Google,,,,
