domain,feature,ff,description
Bundles,Unlimited Seats,unlimited_seats,Disable bottom action bar in staff management page
Bundles,Email Signature,emailsignature_include_in_plan,For App Email signature builder
Bundles,Google Analytics,conversiontracking_include_in_plan,Google Analytics app in the App Market (without this ff the user will see upgrade banner)
Bundles,QuickBooks,appquickbooks_include_in_plan,Quickbooks application in the App Market (without this ff the user will see upgrade banner)
Bundles,Pro Campaign Editor,appadvancecampaigneditor_include_in_plan,Pro campaign editor app in the App Market (without this ff the user will see upgrade banner)
Bundles,Calls & Texting,callsandtexting_include_in_plan,The calls and texting app is available to purchase and install on the App market
Bundles,AI Receptionist (vcita \ TPG),pickmycallfree_include_in_plan,"Control the availability of the ""pickmycallfree"" app in the app market for specific subscription packages"
Bundles,Reserve with Google,googlereserve_include_in_plan,Include Google Reserve in plan
Bundles,Zapier,api,Allow integration with Zapier and Quickbooks
AI,AI Chat,bizai_chat,Controls the activation of the BizAi Business Assistance chat
AI,AI Smart Reply,bizai_smart_reply,Enables a content generator for user message replies during conversations
AI,Smart Reply Advanced,pkg.ai.smart_reply_advanced,Advanced smart reply with precalculated responses for direct premium businesses
AI,CS Recommendations,bizai_cs_recommendations,"Activates the AI recommendation feature, which displays actionable client-facing next steps (generate estimate, schedule appointment)"
AI,AI Business Rules,pkg.ai.business_rules,"Allows businesses to define and manage AI business rules that guide BizAI responses (tone, policies, FAQ, things to avoid)"
Client Management,# of clients,unlimited_clients,"Allow breaching Client Quota, use client quota if this is not added to the package"
Client Management,Email Templates Customization,pkg.business_administration.email_templates,Allow access to the email templates page and settings
Client Management,Email Templates Customization,cliche_client_features,Allow meeting follow up
Client Management,Email Templates Customization,cliche_all_features,Allow editing all transactional emails (including staff)
Client Management,Custom Client Statuses,enable_client_status_customization,"Allows status name changes:Allow status name changes, the addition of custom statuses and client status automation"
Client Management,Custom Client Fields,allow_custom_field_creation,Allows the creation of custom fields
Client Management,Custom Forms/Intake Forms,enable_forms_customization,Enables users to add client/contact fields to forms
Client Management,Reviews,collect_reviews,Enable partners to collect reviews from clients
Client Management,Reviews,enable_reviews_auto_publishing,Controls access to the Auto-Campaign preset for reviews
Client Management,Documents \ Storage,documents_enabled,Enable use of documents module
Client Management,Documents \ Storage,pkg.documents.promote,Displays the Documents menu item to users without access and invites them to upgrade
Client Management,client_portal_credit_cards,client_portal_credit_cards,"ff will show ""my credit/debit cards"" setting in ""my account"" in Client Portal"
Scheduling,Basic Scheduling,scheduling_features,"SMS booking confirmation, scheduling notice, auto follow up hours, meeting auto response,  charge type, reminders, client card fields no multiline. if this feature is not on there is only in test quota for online scheduling"
Scheduling,Services,single_service_booking,Allow exposing only one service for online booking (in the client portal)
Scheduling,Services,3_services_limitation,3 service limitation per account. A user will not be able to create more than 3 services
Scheduling,Services,unlimited_services,Unlimited online services. Without this FF the business will get only 3 services
Scheduling,Services,remove_service_limit,Remove the current limit on max number of services in the back office
